ID,num_bars,avg_bar_len,std_bar_len,avg_bar_conf,std_bar_conf,num_beats,avg_beat_len,std_beat_len,avg_beat_conf,std_beat_conf,num_tatums,avg_tatum_len,std_tatum_len,avg_tatum_conf,std_tatum_conf,num_sections,avg_section_len,std_section_len,avg_section_conf,std_section_conf,duration,key_val,key_conf,tempo_val,tempo_conf,genre
"TRNGIAZ1447C688C5E",277,1.6934350180505415,0.16387308984448984,0.44701444043321292,0.19420416089559825,1099,0.42765289353958136,0.014924061706956943,0.45444040036396743,0.18612166627060039,2198,0.21389814831665149,0.071730713634463192,0.4544404003639666,0.18612166627060048,20,23.674775999999998,8.4133991145519769,-1,-1,473.49551,6,0.53,140.671,0.085,"Jazz"
"TRMHQRR1447CAF0D54",103,2.3288383495145633,0.41517484458351483,0.50963106796116497,0.20602214935553181,411,0.58883289537712902,0.095160842486348748,0.40157177615571787,0.19953405963704401,822,0.2944164598540146,0.047580416834847393,0.4015717761557176,0.19953405963704415,13,18.84835076923077,6.8735866672753589,-1,-1,245.02857,2,0.533,112.117,0.332,"World"
"TRVHVCR1447C503C02",36,1.9231427777777776,0.048835454482437236,0.40561111111111114,0.18770400424571809,148,0.48164486486486474,0.014012106709599133,0.39914864864864852,0.20442051798645247,296,0.24140777027027016,0.08074958041327665,0.39914864864864913,0.20442051798645247,4,18.004897499999998,6.5883739857546599,-1,-1,72.01959,4,0.837,124.426,0.20500000000000002,"Classical"
"TRTXXXU1447C976A5B",48,2.8367724999999999,0.36485166628313898,0.57131250000000011,0.17501430373091414,190,0.72709273684210507,0.011594189646643481,0.51764210526315801,0.27528251194916381,380,0.36354639473684203,0.0057970345324569409,0.51764210526315779,0.27528251194916381,6,23.980406666666667,21.336733667353013,-1,-1,143.88245,0,0.496,82.42,0.026000000000000002,"Rock"
"TRKPMRE1447C480DB1",60,1.9895345000000002,0.45910353754327593,0.46336666666666665,0.17753853728760477,241,0.50274854771784228,0.10795638067185469,0.38695435684647278,0.2002381621174017,482,0.25137423236514517,0.053978211709434135,0.38695435684647311,0.20023816211740156,6,22.508844999999997,10.335461257711643,-1,-1,135.05306,4,0.523,135.499,0.085,"Classical"
"TRGWYDN1456128AE26",20,1.5760839999999996,0.17804543109554941,0.54100000000000015,0.18756465551910356,80,0.40333012499999993,0.0066811395909959536,0.35661250000000005,0.14274203075390934,160,0.20112799999999983,0.0064966115013906098,0.35661249999999978,0.14274203075390937,1,32.339590000000001,0.0,-1,-1,32.33959,10,1.0,147.258,0.165,"Classical"
"TRWRLAO1447C3F8DE4",101,1.4462928712871288,0.14864204293334801,0.45877227722772274,0.19843446089591357,302,0.48842913907284763,0.026699934753012081,0.37379801324503309,0.17335723441647777,604,0.244487417218543,0.082621741738472101,0.37379801324503309,0.17335723441647768,7,22.580991428571426,10.122014863630417,-1,-1,158.06694,5,0.607,117.538,0.031,"Classical"
"TRXLVNF1447CAD1E7D",22,1.8665504545454541,0.018765947273348908,0.50954545454545463,0.20107816826315611,93,0.46632032258064515,0.0054095726485581088,0.35529032258064508,0.098181265392586439,186,0.23316016129032247,0.0027047883616860622,0.35529032258064497,0.098181265392586481,3,17.101496666666666,8.6672832182729298,-1,-1,51.30449,4,0.034,129.312,0.6940000000000001,"World"
"TRMKIEW1447C913176",80,2.1968437500000002,0.12765497627761294,0.50303750000000025,0.17508536801729038,322,0.55265708074534148,0.0076574649681746673,0.69338198757763947,0.14077238153224766,643,0.27633052877138403,0.0038313779443076615,0.6932970451010888,0.1408653121992928,9,19.742764444444443,10.801410221535491,-1,-1,177.6849,6,0.301,108.084,0.771,"R&B"
"TRNZLXT1447CD60635",169,2.1591153846153843,0.20763895295018459,0.51529585798816602,0.20661880985620368,677,0.54296141802067943,0.040930805884655613,0.43847858197932016,0.17262582780272792,1354,0.27148070162481536,0.020465400676265084,0.43847858197932066,0.172625827802728,12,31.005168333333341,27.572640756568468,-1,-1,372.06204,5,0.325,108.427,0.262,"World"
